time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
70490.0,-14.3235,-170.695,994.817,56.6364,57.2971,7.52413,0.142809,1.21079,4.42783,0.163308,49.7732,4.99803,1.03380,0.740704
70500.0,-14.3200,-170.687,986.388,56.5976,57.3008,7.52091,0.150814,1.20897,4.42569,0.171943,49.7663,4.99494,1.03270,0.741968
70510.0,-14.3182,-170.679,979.055,56.3423,57.3010,7.51723,0.154464,1.21276,4.42375,0.179152,49.7595,4.99180,1.03189,0.742352
70520.0,-14.3192,-170.670,970.985,56.0795,57.2990,7.51255,0.152432,1.22569,4.42202,0.186674,49.7527,4.98749,1.03156,0.741476
70530.0,-14.3234,-170.661,960.297,55.7888,57.2953,7.50843,0.141923,1.25121,4.42122,0.193341,49.7465,4.97697,1.03219,0.738280
70540.0,-14.3302,-170.655,948.147,56.1255,57.2750,7.50111,0.132300,1.26785,4.41869,0.187368,49.7368,4.94497,1.03297,0.732718
70550.0,-14.3388,-170.650,936.592,-99999.0,57.2476,7.49083,0.135493,1.25837,4.41766,0.165401,49.7324,4.89602,1.03304,0.727673
70560.0,-14.3483,-170.648,922.307,-99999.0,57.3264,7.51469,0.146004,1.25181,4.45407,0.147741,49.7934,4.87724,1.03688,0.728185
70570.0,-14.3586,-170.648,915.898,-99999.0,57.4323,7.55059,0.149225,1.26330,4.49163,0.152117,49.8561,4.89845,1.04137,0.732041
70580.0,-14.3695,-170.650,914.519,-99999.0,57.4587,7.56001,0.149762,1.26735,4.49985,0.154057,49.8702,4.90481,1.04239,0.733126
70590.0,-14.3809,-170.654,913.228,-99999.0,57.4883,7.57057,0.150215,1.27166,4.50912,0.156183,49.8854,4.91207,1.04367,0.734350
70600.0,-14.3929,-170.659,910.164,-99999.0,57.5657,7.59805,0.151164,1.28237,4.53512,0.161292,49.9259,4.92945,1.04745,0.737265
70610.0,-14.4055,-170.664,902.287,-99999.0,57.7919,7.68761,0.152943,1.31327,4.61351,0.174086,50.0439,4.97410,1.05984,0.745613
70620.0,-14.4184,-170.669,891.816,-99999.0,58.1260,7.85331,0.154577,1.35388,4.73186,0.181938,50.2168,5.02324,1.08115,0.758937
70630.0,-14.4313,-170.675,879.380,-99999.0,58.5288,8.06769,0.155434,1.40017,4.87041,0.180402,50.4365,5.06049,1.10948,0.776069
70640.0,-14.4444,-170.681,865.872,-99999.0,58.9388,8.22426,0.154572,1.46130,4.98817,0.184130,50.6925,5.07155,1.13732,0.791389
70650.0,-14.4575,-170.686,852.698,-99999.0,59.3415,8.33213,0.154551,1.51083,5.09630,0.195650,50.9634,5.07191,1.16379,0.804216
70660.0,-14.4708,-170.692,841.105,-99999.0,59.7257,8.47020,0.158464,1.50919,5.22783,0.202066,51.2077,5.09352,1.19274,0.818450
70670.0,-14.4842,-170.698,830.340,-99999.0,60.0952,8.63487,0.164468,1.48346,5.37659,0.203731,51.4266,5.13542,1.22411,0.834977
70680.0,-14.4978,-170.703,819.548,-99999.0,60.4600,8.80553,0.169858,1.47097,5.52952,0.205795,51.6315,5.19041,1.25600,0.853542
70690.0,-14.5116,-170.709,808.587,-99999.0,60.7816,8.95581,0.172907,1.48301,5.66437,0.210116,51.8042,5.25108,1.28314,0.871181
70700.0,-14.5255,-170.715,797.671,55.8961,61.0287,9.06998,0.174838,1.50387,5.76618,0.214043,51.9321,5.30485,1.30164,0.883891
70710.0,-14.5395,-170.720,786.835,55.7950,61.1989,9.14544,0.176507,1.51938,5.83308,0.215717,52.0182,5.34443,1.31098,0.890418
70720.0,-14.5535,-170.726,776.191,55.4623,61.3019,9.18916,0.177026,1.52343,5.87428,0.215682,52.0712,5.37002,1.31474,0.893235
70730.0,-14.5676,-170.732,765.487,54.6576,61.3391,9.20714,0.175185,1.51279,5.89612,0.214674,52.0929,5.38332,1.31593,0.894450
70740.0,-14.5819,-170.738,755.028,54.3608,61.2242,9.16591,0.171765,1.48521,5.86556,0.212586,52.0279,5.38008,1.30996,0.891092
70750.0,-14.5962,-170.744,744.628,54.0994,60.8254,9.00939,0.168643,1.43615,5.73131,0.208653,51.7942,5.35346,1.28836,0.877981
70760.0,-14.6106,-170.750,734.482,54.4954,60.1354,8.73095,0.166340,1.37060,5.49231,0.203021,51.3870,5.30547,1.25056,0.855008
70770.0,-14.6251,-170.756,724.482,54.7881,59.2657,8.37455,0.163235,1.30236,5.19528,0.197077,50.8743,5.24538,1.20383,0.826701
70780.0,-14.6395,-170.762,714.247,53.8963,58.3129,7.98102,0.157758,1.24344,4.87982,0.192369,50.3143,5.18054,1.15430,0.796660
70790.0,-14.6539,-170.768,704.284,52.8560,57.4616,7.62906,0.151638,1.19967,4.60398,0.189385,49.8148,5.12357,1.11060,0.770109
70800.0,-14.6683,-170.774,694.969,53.0141,56.8551,7.37725,0.147231,1.17051,4.40662,0.187348,49.4604,5.08135,1.07850,0.750547
70810.0,-14.6828,-170.781,687.488,53.4504,56.5321,7.24075,0.145226,1.15491,4.29736,0.185825,49.2747,5.05474,1.05994,0.739113
70820.0,-14.6974,-170.786,682.389,53.9589,56.3877,7.17690,0.144542,1.14856,4.24431,0.184817,49.1952,5.03768,1.05043,0.733067
70830.0,-14.7124,-170.793,678.093,54.0603,56.3091,7.13873,0.144310,1.14627,4.21066,0.183894,49.1560,5.02217,1.04401,0.728775
70840.0,-14.7277,-170.799,673.758,54.4864,56.2627,7.11274,0.144301,1.14606,4.18574,0.182883,49.1372,5.00665,1.03906,0.725234
70850.0,-14.7433,-170.805,669.538,54.1697,56.2429,7.09709,0.144445,1.14759,4.16838,0.181799,49.1352,4.99122,1.03552,0.722396
70860.0,-14.7591,-170.812,665.330,54.0376,56.2264,7.08598,0.144791,1.14671,4.15514,0.180540,49.1311,4.98327,1.03398,0.720782
70870.0,-14.7750,-170.818,661.120,53.7811,56.2034,7.07611,0.145213,1.14331,4.14452,0.179452,49.1185,4.98291,1.03411,0.720204
70880.0,-14.7911,-170.825,656.926,52.9082,56.1774,7.06622,0.145594,1.13981,4.13525,0.178685,49.1026,4.98398,1.03491,0.719913
70890.0,-14.8074,-170.832,652.885,52.4341,56.1428,7.05430,0.145899,1.13579,4.12586,0.178266,49.0796,4.98659,1.03609,0.719794
70900.0,-14.8239,-170.839,648.614,52.4570,56.0872,7.03642,0.146143,1.12979,4.11341,0.178172,49.0414,4.99158,1.03752,0.719703
70910.0,-14.8406,-170.846,644.260,52.1674,56.0104,7.01232,0.146333,1.12193,4.09752,0.178371,48.9877,4.99850,1.03896,0.719552
70920.0,-14.8575,-170.853,638.401,52.8408,55.8825,6.97453,0.146600,1.10789,4.07350,0.179056,48.8962,5.01329,1.04111,0.719555
70930.0,-14.8744,-170.860,630.854,53.5870,55.7119,6.92891,0.147101,1.08824,4.04589,0.180466,48.7696,5.04096,1.04487,0.720431
70940.0,-14.8912,-170.867,622.623,53.9519,55.5734,6.90245,0.147985,1.07117,4.03324,0.182612,48.6563,5.08292,1.05139,0.723491
70950.0,-14.9079,-170.873,614.310,53.8195,55.5493,6.92369,0.149384,1.06600,4.05519,0.185448,48.6105,5.13897,1.06191,0.730001
